-- 2021 --,,
SOUTH EAST,Southeast,Poorest
RED RIVER DELTA,Red River Delta,Poor
NORTHERN MIDLANDS AND MOUNTAIN,Northern Midlands and Mountain,Middle
MEKONG RIVER DELTA,Mekong River Delta,Rich
NORTH CENTRAL AND CENTRAL COASTAL,North Central and Central Coast,Richest
CENTRAL HIGHLANDS,Central Highlands,
,,
-- 2014 --,,
Central Highlands,Central Highlands,
Mekong River Delta,Mekong River Delta,
North Central and Central Coastal area,North Central and Central Coast,
Northern Midlands and Mountain area,Northern Midlands and Mountain,
Red River Delta,Red River Delta,
South East,Southeast,
,,
-- 2011 --,,
Mekong River Delta,Mekong River Delta,
Central Highlands,Central Highlands,
South East,Southeast,
Northen Midlands and Mountain area,Northern Midlands and Mountain,
North Central and Central Coastal area,North Central and Central Coast,
Red River Delta,Red River Delta,
,,
-- 2006 --,,
Red river Delta,Red River Delta,
Mekong river Delta,Mekong River Delta,
South Central Coast,North Central and Central Coast,
South East,Southeast,
North Central Coast,North Central and Central Coast,
Central Highlands,Central Highlands,
North West,Northern Midlands and Mountain,
North East,Northern Midlands and Mountain,
,,
-- 2000 --,,
DBSCL,Mekong River Delta,
DBSH,Red River Delta,
DNB,Southeast,
DHNTB,North Central and Central Coast,
BTB,North Central and Central Coast,
TN,Central Highlands,
DB,Northern Midlands and Mountain,
TB,Northern Midlands and Mountain,
